subcategory,gpo_path,steps,event_ids,reference_url,nist_800_53_au
Audit Credential Validation,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Logon\Audit Credential Validation,Event Viewer > navigate to the GPO path > select 'Configure the following audit events': Success and Failure.,"4774, 4775, 4776, 4777",https://docs.microsoft.com/en-us/windows/device-security/auditing/audit-credential-validation,"AU-2, AU-3, AU-12"
Audit Kerberos Authentication Service,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Logon\Audit Kerberos Authentication Service,Event Viewer > navigate to the GPO path > select 'Configure the following audit events': Success and Failure.,"4768, 4771, 4772",https://docs.microsoft.com/en-us/windows/device-security/auditing/audit-kerberos-authentication-service,"AU-2, AU-3, AU-12"
Audit Kerberos (verbose / debug logging),"Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Audit Policies\Account Logon (Audit Credential Validation, Audit Kerberos Authentication Service, Audit Kerberos Service Ticket Operations, Audit Other Account Logon Events)","GPO: enable the four Account Logon subcategories above. Single machine verbose logging: run regedit.exe, expand HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Lsa\Kerberos\Parameters, create a DWORD value named LogLevel if it doesn't exist, set it to 1, click OK.","4768, 4769, 4770, 4771, 4772, 4774, 4775, 4776, 4777, 4649, 4778, 4779, 4800, 4801, 4802, 4803, 5378, 5632, 5633",,"AU-2, AU-3, AU-12"
Audit User Account Management,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit User Account Management,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"4720, 4722, 4723, 4724, 4725, 4726, 4738, 4740",,"AU-2, AU-3, AU-12"
Audit Computer Account Management,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Computer Account Management,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"4741, 4742, 4743",,"AU-2, AU-3, AU-12"
Audit Security Group Management,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Security Group Management,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"4727, 4728, 4729, 4730, 4735, 4737",,"AU-2, AU-3, AU-12"
Audit Directory Service Changes,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Directory Service Changes,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"5136, 5137, 5141",,"AU-2, AU-3, AU-12"
Audit Account Lockout,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon/Logoff\Audit account lockout events,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,4625,https://docs.microsoft.com/en-us/windows/device-security/auditing/audit-account-lockout,"AU-2, AU-3, AU-12"
Audit Logoff,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon/Logoff\Audit logoff events,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"4634, 4647",https://docs.microsoft.com/en-us/windows/device-security/auditing/audit-logoff,"AU-2, AU-3, AU-12"
Audit Logon,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon/Logoff\Audit logon events,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"4624, 4625, 4648, 4675",https://docs.microsoft.com/en-us/windows/device-security/auditing/audit-logon,"AU-2, AU-3, AU-12"
