data_model,dataset,ta_verified,description,key_cim_fields,windows_sources
Authentication,Authentication,Yes,"Tracks authentication attempts and logon/logoff activity -- interactive, network, service, Kerberos, and RDP/smart-card logons.","action (success|failure), app, dest, src, user, signature, signature_id, authentication_method, duration, reason","Security: 4624, 4625, 4648, 4672, 4768, 4769, 4771, 4773-4777 (verified by the real Splunk_TA_windows 11.0.2 package's eventtypes.conf/tags.conf); Audit Network Policy Server, AD FS Credential Validation/Token Issuance, 4678/4679 (this catalogue's own analysis, not in the TA); SmartCard-Audit/Authentication channel"
Change,Change,Yes,"The general Change dataset, used where the real Splunk_TA_windows package tags an event tag=change without a more specific account/audit/endpoint/network sub-tag.","action, change_type, dest, object, result, status, user","Security: 4698, 4700-4702, 4706, 4713, 4744, 4749, 4750, 4759, 4799, 4876, 5461 (Scheduled Task, domain trust, Kerberos policy, and various group-management events the TA tags generically rather than into a specific sub-dataset)"
Change,Change.Account_Management,Yes,"Tracks the create/modify/delete/enable/disable/lock/unlock lifecycle of user, computer, and group accounts.","action (created|deleted|modified|enabled|disabled), change_type, dest, object, object_category (user|group), src_user, status, user","Security: the real TA's explicit ""Change Account"" eventtype (4634, 4703-4705, 4717, 4718, 4720, 4722-4726, 4732, 4738, 4740, 4767, 4781, 4794, 4798, 4800, 4801) plus 4647 (extended here by analogy -- it is the same ""Audit Logoff"" subcategory's sibling event to the TA-tagged 4634); Distribution/Application Group Management, Computer Account Management (this catalogue's own analysis for subcategories the TA does not individually enumerate); RDS local admin/RD Users group membership changes"
Change,Change.Auditing_Changes,Partial,Tracks changes to the audit policy itself and to authentication/authorization policy configuration.,"action, change_type, dest, object, result, src_user, status, user","Security: 104 (System log), 517, 612, 807, 1101, 1102, 1105, 1108, 1101, 4715, 4719, 4739, 4912 (verified by the real TA); Audit Authentication Policy Change and remaining Audit Authorization/Other Policy Change events not individually TA-tagged (this catalogue's own analysis)"
Change,Change.Endpoint_Changes,No,"Tracks broader host security-state changes -- startup, shutdown, and recovery from an audit failure. Not addressed by the real Splunk_TA_windows package at the EventCode level; this catalogue's own analysis.","action, change_type, dest, object, status, user","Security: Audit Security State Change (4608, 4609, 4616, 4621)"
Change,Change.Network_Changes,No,"Tracks changes to host firewall and IPsec configuration -- rule/policy add, modify, delete, and reset-to-default. Not addressed by the real Splunk_TA_windows package at the EventCode level (its firewall eventtypes use ""modify""/""configuration"" tags, not the change+network combination the CIM dataset requires); this catalogue's own analysis based on each event's message text.","action, change_type, dest, dvc, object, rule, status, user","Security: Audit MPSSVC Rule-Level Policy Change, Audit Filtering Platform Policy Change; the dedicated Windows Firewall With Advanced Security Firewall/FirewallVerbose/ConnectionSecurity/ConnectionSecurityVerbose channels"
Endpoint,Endpoint.Processes,Yes,Tracks process creation and termination on the endpoint.,"process, process_name, process_id, process_path, process_hash, parent_process, parent_process_id, dest, user","Security: 4673, 4674, 4688, 4689, 4696 (verified by the real TA); Sysmon Event ID 1, 5, 27 (this catalogue's own analysis -- Sysmon isn't covered by Splunk_TA_windows at all)"
Endpoint,Endpoint.Services,Yes,"Tracks Windows service lifecycle -- installed, started, stopped, or failed to start.","service, service_name, service_hash, status, dest, signature","Security/System: 1100, 4697, 5024, 5025, 5030, 5033-5035, 5478, 7036, 7040, 7045 (verified by the real TA); remaining System-log ""Services"" category events not individually TA-tagged (this catalogue's own analysis)"
Endpoint,Endpoint.Filesystem,No,Tracks file and network-share create/delete/modify/access activity. Not addressed by the real Splunk_TA_windows package at the EventCode level for the Security log; this catalogue's own analysis.,"file_name, file_path, file_hash, action, dest, user","Security: Audit File System, Audit File Share, Audit Detailed File Share, removable-media read/write (4656/4663); Sysmon Event ID 2, 11, 15, 23, 26, 28, 29"
Endpoint,Endpoint.Registry,Yes,Tracks Windows registry key and value create/modify/delete activity.,"registry_key_name, registry_value_name, registry_value_data, action, dest, user","Security: 4657, and 4670 when the object is a registry key (verified by the real TA); 5039 and Sysmon Event ID 12, 13, 14 (this catalogue's own analysis)"
Endpoint,Endpoint.Ports,Yes,"Tracks a host beginning (or being permitted) to listen on a network port -- distinct from an actual connection, which belongs to Network_Traffic.","dest, dest_port, dvc, protocol","Security: 861, 4957, 5154, 5158 (verified by the real Splunk_TA_windows 11.0.2 package -- these were originally guessed into Network_Traffic/Change.Network_Changes by this catalogue and corrected once the real TA data was available)"
Network Traffic,Network_Traffic,No,Tracks network connections and the host firewall/IPsec allow-or-block decision made about them. Not addressed by the real Splunk_TA_windows package at the EventCode level; this catalogue's own analysis.,"action (allowed|blocked|teardown), src, src_port, dest, dest_port, protocol, transport, direction, dvc","Security: Audit Filtering Platform Connection/Packet Drop, Audit IPsec Main/Quick/Extended Mode, Audit IPsec Driver; Sysmon Event ID 3 (network connect)"
