event_id,log,source,category,subcategory,description,sample,reference,how_to_collect,sample_type,mitre_techniques,acsc_priority_log,nist_800_53_au,field_schema,group_policy_path,opposite_event_id,cim_mapping
4205,Applications and Servers->Microsoft->Windows->NLAsvc,Nlasvc,Network Location Awareness,Gateway Resolution,Gateway resolution failed on interface for xx with error ...,"Log Name:      Microsoft-Windows-NlaSvc/Operational
Source:        Microsoft-Windows-NlaSvc
Event ID:      4205
Task Category: Gateway Resolution
Level:         Warning
Computer:      WKS-0142.corp.local
Description:
Gateway resolution failed on interface {4d36e972-e325-11ce-bfc1-08002be10318} for gateway address 10.20.40.1 with error 0x51.",,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
4343,Applications and Servers->Microsoft->Windows->NLAsvc,Nlasvc,Network Location Awareness,LDAP Authentication,LDAP Authentication on interface failed,"Log Name:      Microsoft-Windows-NlaSvc/Operational
Source:        Microsoft-Windows-NlaSvc
Event ID:      4343
Task Category: LDAP Authentication
Level:         Warning
Computer:      WKS-0142.corp.local
Description:
LDAP Authentication on interface {4d36e972-e325-11ce-bfc1-08002be10318} failed against domain controller DC01.corp.local.",,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
70,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Scope xxx for ipv4 is configured by xxx,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      70
Task Category: None
Level:         Information
Computer:      DHCP01.corp.local
Description:
Scope 10.20.30.0 for ipv4 is configured by CORP\admin.jsmith.",Configure,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
72,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Scope xxx for ipv4 is deleted by xxx,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      72
Task Category: None
Level:         Information
Computer:      DHCP01.corp.local
Description:
Scope 10.20.30.0 for ipv4 is deleted by CORP\admin.jsmith.",Configure,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
73,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Scope xxx for ipv4 is activated by xxx,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      73
Task Category: None
Level:         Information
Computer:      DHCP01.corp.local
Description:
Scope 10.20.30.0 for ipv4 is activated by CORP\admin.jsmith.",Configure,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
74,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Scope xxx for ipv4 is deactivated by xxx,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      74
Task Category: None
Level:         Information
Computer:      DHCP01.corp.local
Description:
Scope 10.20.30.0 for ipv4 is deactivated by CORP\admin.jsmith.",Configure,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
75,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Scope xxx for ipv4 is updated with lease duration xxx seconds by xxx,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      75
Task Category: None
Level:         Information
Computer:      DHCP01.corp.local
Description:
Scope 10.20.30.0 for ipv4 is updated with lease duration 691200 seconds by CORP\admin.jsmith.",Configure,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
76,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Scope xxx for ipv4 is updated with option setting xx by xxx,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      76
Task Category: None
Level:         Information
Computer:      DHCP01.corp.local
Description:
Scope 10.20.30.0 for ipv4 is updated with option setting 006 (DNS Servers) by CORP\admin.jsmith.",Configure,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
89,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Scope ... for ipv4 is updated with support type...by....The previous configuration state was : ...,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      89
Task Category: None
Level:         Information
Computer:      DHCP01.corp.local
Description:
Scope 10.20.30.0 for ipv4 is updated with support type DHCPv4 by CORP\admin.jsmith. The previous configuration state was: Disabled.",,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
106,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Reservation xxx for ipv4 is configured under scope xxx by xxx,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      106
Task Category: None
Level:         Information
Computer:      DHCP01.corp.local
Description:
Reservation 10.20.30.50 for ipv4 is configured under scope 10.20.30.0 by CORP\admin.jsmith.",Configure,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
